UTDANNINGTYPEAHEAD,UTDANNING
Kj%C3%B8,Kj%C3%B8kken-+og+restaurantledelse+ett%C3%A5rig
Bac,Bachelor+sosialantropologi+tre%C3%A5rig
Mas,Master+sosialantropologi+to%C3%A5rig
Med,Medisin
Mas,Master+tysk+to%C3%A5rig
Mar,Maritime+navigasjonsfag+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Vid,Videreutdanning+i+vernepleie+m%C3%A5lrettet+og+metodisk+milj%C3%B8arbeid
Can,Cand.polit.-utdanning+pedagogisk+informasjonsvitenskap
H%C3%B8g,H%C3%B8gskolekandidat+reiselivsledelse+tre%C3%A5rig
Mas,Master+of+Science+kjemi
Med,Media+og+kommunikasjon+uspesifisert+h%C3%B8yere+niv%C3%A5
Mas,Master+of+Science+%C3%B8konomisk-administrative+fag+ett%C3%A5rig
All,Allmennl%C3%A6rerutdanning+med+musikk+fire%C3%A5rig
Bac,Bachelor+spansk+spr%C3%A5k+og+latinamerikastudier+tre%C3%A5rig
Can,Cand.polit.-utdanning+idrettsvitenskap
Can,Cand.agric.-utdanning+landskapsarkitektur
Byg,Bygnings-+og+anleggsarbeid+to%C3%A5rig+grunnkurs
Byg,Bygg-+og+anleggsteknikk+med+studiespesialisering+Vg3
Mag,Mag.scient.-utdanning+databehandling
Mas,Master+of+Arts+samfunnsvitenskapelige+fag
Tre,Tre-+metall-+og+glassh%C3%A5ndverk+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
H%C3%A5n,H%C3%A5ndverks-+og+kunstindustriskole+linje+for+tekstil
Siv,Sivilingeni%C3%B8rutdanning+elektronikk
Mas,Master+teknologi+teknisk+kybernetikk+fem%C3%A5rig
Jor,Jordmorutdanning+ett%C3%A5rig
Can,Cand.philol.-utdanning+historiefag
Sos,Sosiologiske+fag+forskerutdanning
Mas,Master+industridesign+fem%C3%A5rig
Bac,Bachelor+kulturprosjektledelse+tre%C3%A5rig
Est,Estetiske+fag+to%C3%A5rig+grunnkurs
Can,Cand.philol.-utdanning+samfunnsfag+og+samfunnsvitenskap
Hel,Helse-+sosial-+og+idrettsfag+andre+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Hov,Hovedfagskandidat+samfunnsfag
Siv,Sivilingeni%C3%B8rutdanning+elkraftteknikk
Fys,Fysiologi+lavere+niv%C3%A5
Sos,Sosiologiske+fag+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
M%C3%B8b,M%C3%B8beltapetserer+videreg%C3%A5ende+grunnutdanning
Vid,Videreutdanning+informatikk
Can,Cand.scient.-utdanning+forurensingsstudier
Fly,Flymekaniker+videreg%C3%A5ende+avsluttende+utdanning
Int,Interi%C3%B8r-+og+dekorat%C3%B8rutdanning+uspesifisert+forskerutdanning
Kar,Kart+og+oppm%C3%A5ling+VK+II
Bac,Bachelor+organisasjons-+og+ledelsesfag+tre%C3%A5rig
Ski,Skipsf%C3%B8rerkurs
Fag,Fagoversetterstudium+tre%C3%A5rig
Bac,Bachelor+kultur+og+kommunikasjon+tre%C3%A5rig
Rel,Religionsfag+lavere+niv%C3%A5
Bac,Bachelor+plantevitenskap+tre%C3%A5rig
F%C3%B8r,F%C3%B8rskole-%2Fbarnehagel%C3%A6rerutdanning+annen+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Fag,Fagskoleutdanning+saksbehandler+halv%C3%A5rig
Ped,Pedagogikk+lavere+niv%C3%A5
Luf,Luftfartsfag+uspesifiserte+lavere+niv%C3%A5
Can,Cand.philol.-utdanning+tysk
Bac,Bachelor+Europa-studier+(EU)+tre%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+analytisk+kjemi+tre%C3%A5rig
Bac,Bachelor+ingeni%C3%B8rfag+sikkerhet+tre%C3%A5rig
Can,Cand.polit.-utdanning+samfunnsfag+og+juridiske+fag+uoppgitt+faggruppe
Can,Cand.polit.-utdanning+f%C3%B8rskolepedagogikk
Lyd,Lydtekniker+videreg%C3%A5ende+avsluttende+utdanning
Mas,Master+statsvitenskap+to%C3%A5rig
Hov,Hovedfagskandidat+skolevitenskap%2Fpedagogikk
Dyr,Dyrepleierutdanning+to%C3%A5rig
Syk,Sykepleiefag+uspesifiserte+h%C3%B8yere+niv%C3%A5
Res,Reservedelsfaget+for+kj%C3%B8ret%C3%B8y+VK+I
Rad,Radio-+og+fjernsynsteknisk+utdanning+videreg%C3%A5ende+grunnutdanning
Siv,Sivilingeni%C3%B8rutdanning+energi-+og+milj%C3%B8
Mas,Master+lektorutdanning+kultur-+spr%C3%A5k-+og+samfunnsfag+fem%C3%A5rig
Kur,Kurs+for+praksiskandidater
Kys,Kystskipperkurs+av+1.+klasse
Sik,Sikkerhet+andre+uspesifiserte+videreg%C3%A5ende+grunnutdanning
H%C3%B8g,H%C3%B8gskolekandidat+fiskeri%C3%B8konomi+tre%C3%A5rig
Aut,Automatikkmekanikerfaget+VK+III
Med,Medie-+og+informasjonsfag+andre+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Aut,Automatiseringsfaget+Vg4
B%C3%A5t,B%C3%A5tbyggerfag+Vg2
Mas,Master+informasjonssystemer+to%C3%A5rig
Sam,Sammenliknende+politikk+lavere+niv%C3%A5
Jur,Juridisk+embetseksamen+2.+avd.
Gra,Grad%C3%B8rfaget+(tilskj%C3%A6ring%2Fdesign)+VK+II
Fag,Fagskoleutdanning+m%C3%B8bel+og+innredning+to%C3%A5rig
Tel,Telekommunikasjonsmont%C3%B8rfaget+Vg3
Bac,Bachelor+yrkesfagl%C3%A6rerutdanning+restaurant-+og+matfag+tre%C3%A5rig
Mas,Master+yrkespedagogikk+to%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+%C3%B8konomi+og+administrasjon+tre%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+samfunnsfag+med+kulturforvaltning+to%C3%A5rig
Tol,Tollbetjentkurs+tollvesenets+grunnutdanning+niv%C3%A5+1
Tol,Tollinspekt%C3%B8rkurs+niv%C3%A5+2
Tol,Tollrevisorutdanning
Anl,Anleggsmaskinmekanikerfaget+Vg3
Vin,Vinkelner+lavere+niv%C3%A5
Vid,Videreutdanning+for+fiske+og+fangst
H%C3%B8g,H%C3%B8gskolekandidat+journalist+to%C3%A5rig
Mas,Master+samfunns%C3%B8konomi+to%C3%A5rig
Can,Cand.philol.-utdanning+nordisk+spr%C3%A5kvitenskap
H%C3%B8g,H%C3%B8gskolekandidat+markedsf%C3%B8ring+og+internasjonalisering+tre%C3%A5rig
Zoo,Zoologiske+fag+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Mas,Master+of+Science+marine+technology+to%C3%A5rig
Mas,Master+arkitektur+fem%C3%A5rig
Bil,Bilskadefaget+Vg3
Utd,Utdanning+i+fiskeforedling+videreg%C3%A5ende+grunnutdanning
Mas,Master+informatikk+fem%C3%A5rig
Lik,Likningsetaten+saksbehandler
Mas,Master+regnskap+og+revisjon+-+h%C3%B8yere+revisorstudium+to%C3%A5rig
Can,Cand.philol.-utdanning+humanistisk+informatikk
Bac,Bachelor+arbeidslivsstudier+tre%C3%A5rig
Opt,Optronikerfaget+Vg3
Fag,Fagskoleutdanning+reiseliv
Inf,Informasjon+og+samfunnskontakt+lavere+niv%C3%A5
Fot,Fotograffaget+Vg3+(gammel+ordning)
Fag,Fagskoleutdanning+massasjeterapi+ett%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+landbruksteknikk+tre%C3%A5rig
Can,Cand.ed.-utdanning+uspesifisert
Rek,Reklameutdanning+tre%C3%A5rig
Bac,Bachelor+spr%C3%A5k-+og+kulturfag+tre%C3%A5rig
Siv,Sivilingeni%C3%B8rutdanning+bygge-+og+milj%C3%B8teknikk
Mas,Master+risikostyring+to%C3%A5rig
Mas,Master+teknologi+marin+teknikk+to%C3%A5rig
Rev,Revisjon+ett%C3%A5rig+p%C3%A5bygging
Fag,Fagl%C3%A6rerutdanning+uspesifisert+fagfelt
Bac,Bachelor+yrkesfagl%C3%A6rerutdanning+design-+og+h%C3%A5ndverksfag+tre%C3%A5rig
Mas,Master+etnomusikologi+(folkemusikkvitenskap)+to%C3%A5rig
Mas,Master+religionsvitenskap+to%C3%A5rig
Bil,Bildende+kunst+og+kunsth%C3%A5ndverk
Yrk,Yrkesfagl%C3%A6rerutdanning+helse-+og+sosialfag+tre%C3%A5rig
Can,Cand.scient.-utdanning+fysikk
Mas,Master+ledelse+1+5-%C3%A5rig
Kun,Kunstfagkandidat+metall+hovedfag
For,Forfatterutdanning+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Dip,Diplom%C3%B8konom+logistikk
F%C3%B8r,F%C3%B8rskolel%C3%A6rerutdanning+to%C3%A5rig
Bac,Bachelor+informasjons-+og+kommunikasjonsteknologi+tre%C3%A5rig
Bac,Bachelor+interkulturell+forst%C3%A5else+tre%C3%A5rig
Vid,Videreutdanning+biologi
And,Andre+servicefag+andre+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Bac,Bachelor+rettsvitenskap+tre%C3%A5rig
Gar,Gartneri+og+hagebruk+praksisutdanning+(l%C3%A6rlingutdanning)
Fag,Fagskoleutdanning+logistikk+to%C3%A5rig
Bac,Bachelor+transport%C3%B8konomi+og+logistikk+tre%C3%A5rig
Can,Cand.ed.-utdanning+spesialpedagogikk+profesjonsstudiets+2.+avd.
Adj,Adjunktutdanning+realfag+fire%C3%A5rig
Mas,Master+of+Education+ett%C3%A5rig
Vid,Videreutdanning+ingeni%C3%B8rer+teknologi+og+industriell+utvikling
Gre,Gresk+lavere+niv%C3%A5
Bac,Bachelor+antikke+studier+tre%C3%A5rig
Hov,Hovedfagskandidat+zoologi
Mas,Master+of+Science+Zoology
Mas,Master+biologi+to%C3%A5rig
Ker,Keramikerutdanning+videreg%C3%A5ende+grunnutdanning
Kok,Kokk-+og+servit%C3%B8rfag+Vg2+grunnkompetanse
Mas,Master+international+education+to%C3%A5rig
Bac,Bachelor+prosjektledelse+for+fjernsyn+tre%C3%A5rig
Bac,Bachelor+informasjonsutdanning+tre%C3%A5rig
Stu,Studiespesialisering+Vg1+grunnkompetanse
Anl,Anleggsmaskinmekanikerfaget+Vg4
Bac,Bachelor+politisk+%C3%B8konomi+tre%C3%A5rig
Mas,Master+of+Science+environmental+and+development+economics
Ple,Pleie-+og+omsorgsfag
Tre,Trearbeidsfag+VK+II
Kri,Kristendom+og+menighet+lavere+niv%C3%A5
Mis,Misjonsutdanning+lavere+niv%C3%A5
Can,Cand.merc.-utdanning+bedrifts%C3%B8konomi
Ser,Servit%C3%B8rfaget+Vg3
Sos,Sosialfag
Avi,Avionikerfaget+Vg3
Fag,Fagskoleutdanning+hotell-+og+restaurantfag
Zoo,Zoologiske+fag+uspesifiserte+h%C3%B8yere+niv%C3%A5
Can,Cand.scient.-utdanning+fiskehelse
H%C3%B8g,H%C3%B8gskolekandidat+animasjonsfilm+to%C3%A5rig
Mas,Master+handel+og+markedsf%C3%B8ring+to%C3%A5rig+(ikke+godkjent+h%C3%B8gskoleutdanning)
Mar,Markedsf%C3%B8ring+uspesifisert+h%C3%B8yere+niv%C3%A5
Dip,Diplom%C3%B8konom+eiendomsmegling
Bac,Bachelor+humanistiske+og+estetiske+studier+tre%C3%A5rig
Mat,Matfag+Vg2
Bac,Bachelor+offentlig+administrasjon+og+ledelse+tre%C3%A5rig
Fis,Fiskeskipperutdanning
For,Forvaltningsoppl%C3%A6ring
Kin,Kinesisk+lavere+niv%C3%A5
Sko,Skogbruk+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Ned,Nederlandsk+lavere+niv%C3%A5
Bac,Bachelor+medisin+tre%C3%A5rig
Tan,Tannteknikk+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Ret,Rettsstudiet+uspesifisert+forskerutdanning
Bac,Bachelor+yrkesfagl%C3%A6rerutdanning+teknologiske+fag+tre%C3%A5rig
Tea,Teater-+og+filmutdanning+uspesifisert+videreg%C3%A5ende+grunnutdanning
Fot,Fotterapi+og+ortopediteknikk+Vg2
Mas,Master+grunnskolel%C3%A6rerutdanning+5.-10.+trinn+fem%C3%A5rig
Hus,Husflid+brukskunst+og+industridesign+uspesifisert+videreg%C3%A5ende+grunnutdanning
Dr.,Dr.scient.-utdanning+botanikk
Byg,Bygg-+og+anleggsteknikk+Vg1
Can,Cand.real.-utdanning+zoologi
Ph.,Ph.d.-program+biologi
Nat,Naturbruk+Vg1
Hes,Heste-+og+hovslagerfag+Vg2
Arb,Arbeidslederutdanning+for+yrkesfagarbeidere
Utd,Utdanning+i+samvirkesp%C3%B8rsm%C3%A5l
Vid,Videreutdanning+i+sykepleie+barnesykepleie.
Tea,Teater+med+barn+og+unge+lavere+niv%C3%A5
Sam,Samfunnsplanlegging+to%C3%A5rig+videreutdanning
Dip,Diplom%C3%B8konom+reiselivsledelse
Tek,Tekstforfatterutdanning+to%C3%A5rig
Sam,Samferdsel+tjenesteyting+og+sikkerhet+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Vid,Videreutdanning+for+sosialsektoren+lederutvikling
Vid,Videreutdanning+for+helse-+og+sosialsektoren+helserett
Pri,Prim%C3%A6rn%C3%A6ringsfag+andre+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Dip,Diplomstudium+keramikk+fire%C3%A5rig
Mas,Master+arkitektur+5+5-%C3%A5rig
Tan,Tannpleiefag+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Bac,Bachelor+natur-+helse-+og+milj%C3%B8vernfag+tre%C3%A5rig
Duo,Duodji%2Fsamisk+husflid+videreg%C3%A5ende+grunnutdanning
Can,Cand.psychol.-utdanning+profesjonsstudiet+i+psykologi+seks%C3%A5rig
Tol,Tolkeutdanning+lavere+niv%C3%A5
Mas,Master+teknologi+ingeni%C3%B8rdesign+to%C3%A5rig
Dr.,Dr.ing.-utdanning+maskintekniske+fag
H%C3%B8g,H%C3%B8gskolekandidat+illustrasjon+og+grafisk+design+tre%C3%A5rig
Tek,Tekniske+byggfag+VK+II
Mal,Malerutdanning+videreg%C3%A5ende+avsluttende+utdanning
H%C3%B8g,H%C3%B8gskolekandidat+landbruks%C3%B8konomi+og+bygdeutvikling+tre%C3%A5rig
Mas,Master+teknologi+kjemi-+og+bioteknologi+fem%C3%A5rig
Bac,Bachelor+anvendt+datateknologi+tre%C3%A5rig
Bac,Bachelor+informatikk+og+administrasjon+tre%C3%A5rig
Ph.,Ph.d.-program+informasjons-+og+kommunikasjonsteknologi
Fys,Fysikk+og+kjemi+lavere+niv%C3%A5
Fil,Film-+og+videoproduksjon+videreg%C3%A5ende+grunnutdanning
Off,Offentlig+administrasjon+og+ledelse+lavere+niv%C3%A5
Bac,Bachelor+samfunnsgeografi+tre%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+fagoversetter+engelsk+tre%C3%A5rig
Can,Cand.mag.-utdanning+%C3%B8konomiske+og+administrative+fag
Mas,Master+rettssosiologi+to%C3%A5rig
Org,Organistutdanning+videreg%C3%A5ende+avsluttende+utdanning
Bac,Bachelor+fagl%C3%A6rerutdanning+musikk+tre%C3%A5rig
Sos,Sosialfag+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Bac,Bachelor+akvakultur%2Fn%C3%A6ringsmiddelteknologi+tre%C3%A5rig
Bac,Bachelor+internasjonale+studier+tre%C3%A5rig
Mas,Master+of+Philosophy+media+studies
Bac,Bachelor+samfunnsfag+tre%C3%A5rig
Kok,Kokk-+og+servit%C3%B8rfag+Vg2
P%C3%A5b,P%C3%A5bygging+til+generell+studiekompetanse+(alle+yrkesfaglige+utdanningsprogram)+Vg3+grunnkompetanse
Dr.,Dr.art.-utdanning+filmvitenskap
Mas,Master+kristendomskunnskap%2F-studier+to%C3%A5rig
Dip,Diplomstudium+helpraktikere+naturmedisin
Can,Cand.scient.-utdanning+mikrobiologi
Mas,Master+of+Philosophy+humanistiske+og+estetiske+fag
Teg,Tegnspr%C3%A5kutdanning+lavere+niv%C3%A5
All,Allmennl%C3%A6rerutdanning+for+d%C3%B8ve+fire%C3%A5rig
Bil,Billedspr%C3%A5klig+utdanning+to%C3%A5rig
Hel,Helse-+og+sosialadministrasjon+videreutdanning
Mas,Master+informatikk+to%C3%A5rig
Mas,Master+of+Science+intensive+fish+farming+to%C3%A5rig
Spe,Spesialpedagogikk+uspesifisert+h%C3%B8yere+niv%C3%A5
Bac,Bachelor+estetiske+fag+kunst+og+design+tre%C3%A5rig
Fag,Fagskoleutdanning+illustrasjon+to%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+ingeni%C3%B8rfag+elektro+to%C3%A5rig
Can,Cand.scient.-utdanning+naturgeografi
Geo,Geologi+og+kjemi+lavere+niv%C3%A5
Pos,Postale+fag+lavere+niv%C3%A5
Idr,Idrettsfag+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Bac,Bachelor+spr%C3%A5kteknologi+tre%C3%A5rig
Bac,Bachelor+%C3%B8konomi+og+informatikk+tre%C3%A5rig
Bac,Bachelor+matematiske+fag+tre%C3%A5rig
Mas,Master+kunstvitenskap+to%C3%A5rig
Bac,Bachelor+elektronikk+informatikk+og+teknologi+tre%C3%A5rig
Can,Cand.scient.-utdanning+matematikk
Bal,Ballettutdanning+videreg%C3%A5ende+avsluttende+utdanning
Teo,Teologisk+seminar+fire%C3%A5rig
Can,Cand.philol.-utdanning+estetiske+fag
Mas,Master+estetiske+studier+to%C3%A5rig
For,Formgivingsfag+strikking%2Fveving+VK+I
Can,Cand.musicae.-utdanning+kammermusikk%2Fsoloinstrument
H%C3%B8g,H%C3%B8gskolekandidat+fagoversetter+engelsk+fire%C3%A5rig
Mas,Master+peace+and+conflict+studies+to%C3%A5rig
Mas,Master+samfunnsvitenskap+to%C3%A5rig
H%C3%A5n,H%C3%A5ndbokbinderfaget+Vg2+og+Vg3+s%C3%A6rl%C3%B8p
Mas,Master+teknologi+teknisk+kybernetikk+to%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+samfunnsplanlegging+to%C3%A5rig
Mus,Musikkteater+ett%C3%A5rig+videreutdanning
Dia,Diakonutdanning
Mas,Master+teknologi+maskin+prosess+og+produktutvikling+fem%C3%A5rig
Tek,Tekniske+byggfag+to%C3%A5rig+grunnkurs
Fag,Fagskoleutdanning+grafisk+design
Mas,Master+engelsk+to%C3%A5rig
Fis,Fiske+og+havbruk+uspesifisert+videreg%C3%A5ende+grunnutdanning
Bac,Bachelor+historie+og+kulturfag+tre%C3%A5rig
Vid,Videreutdanning+for+sosialsektoren+flerkulturell+forst%C3%A5else
Can,Cand.agric.-utdanning+n%C3%A6ringsmiddelfag
Spr,Spr%C3%A5kutdanning+annen+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Bac,Bachelor+fiskeri%C3%B8konomi+tre%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+informasjonsbehandling+to%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+kommunal+planlegging+og+administrasjon+to%C3%A5rig
Ped,Pedagogisk+informasjonsvitenskap+lavere+niv%C3%A5
Can,Cand.polit.-utdanning+sammenliknende+politikk
Fag,Fagskoleutdanning+milj%C3%B8arbeid+rettet+mot+mennesker+med+funksjonsnedsettelse%2Futviklingshemming+ett%C3%A5rig
Pol,Polsk+lavere+niv%C3%A5
Vid,Videreutdanning+i+sykepleie+operasjon
Ph.,Ph.d.-program+arkitektur
Can,Cand.polit.-utdanning+sosialpedagogikk
Ter,Terapeutiske+fag+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Dip,Diplomstudium+illustrasjon+fire%C3%A5rig
Bac,Bachelor+radiografi+tre%C3%A5rig
Mas,Master+of+Science+development+studies+to%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+naturforvaltning+tre%C3%A5rig
Dr.,Dr.philos.-utdanning+sosialantropologi
Bac,Bachelor+ingeni%C3%B8rfag+marinteknisk+drift+tre%C3%A5rig
Fag,Fagskoleutdanning+elektrofag+elkraft+to%C3%A5rig
Tek,Teknisk+fagskole+n%C3%A6ringsmiddellinje
Can,Cand.polit.-utdanning+media+og+massekommunikasjon
Tek,Teknisk+fagskole+driftslinje+med+fagretning+for+m%C3%B8bel-+og+treindustri
Mas,Master+informasjons-+og+kommunikasjonsteknologi+fem%C3%A5rig
Gru,Grunnskolel%C3%A6rerutdanning+med+vekt+p%C3%A5+realfag+1.-7.+trinn+fire%C3%A5rig
Mas,Master+sykepleievitenskap+to%C3%A5rig
Can,Cand.polit.-utdanning+samfunnsfag
Can,Cand.philol.-utdanning+informasjonsvitenskap
H%C3%B8g,H%C3%B8gskolekandidat+utmarksforvaltning+tre%C3%A5rig
Vid,Videreutdanning+for+helse-+og+sosialsektoren+rusproblematikk
Hje,Hjelpepleiefag+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Kj%C3%B8,Kj%C3%B8ttskj%C3%A6rerfaget+Vg3
Pro,Programmerere+videreg%C3%A5ende+grunnutdanning
Can,Cand.polit.-utdanning+samfunnsgeografi
Sam,Samfunnsgeografiske+fag+andre+uspesifiserte+lavere+niv%C3%A5
Bac,Bachelor+flerkulturelt+barnevern+tre%C3%A5rig
For,Formgivingsfag+Vg2
Ene,Energioperat%C3%B8rfaget+Vg3
Mil,Milj%C3%B8fag+lavere+niv%C3%A5
Med,Medier+og+kommunikasjon+Vg1+(yrkesfaglig)
Bac,Bachelor+drift+av+nettverk+og+datasystemer+tre%C3%A5rig
Siv,Sivilingeni%C3%B8rutdanning+tekniske+fag
Tek,Teknisk+fagskole+linje+for+kjemiteknikk
Mas,Master+sammenliknende+politikk+to%C3%A5rig
Fag,Fagskoleutdanning+tverrkulturell+forst%C3%A5else+og+internasjonalt+arbeid
Gru,Gruvedrift+og+utvinning+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Bac,Bachelor+olje+og+gass+tre%C3%A5rig
Bac,Bachelor+energi+og+%C3%B8konomi+tre%C3%A5rig
Siv,Sivilingeni%C3%B8rutdanning+%C3%B8konomiske+og+administrative+fag
Jor,Jordbruk
Bac,Bachelor+estetiske+fag+drama+tre%C3%A5rig
Por,Portugisisk+lavere+niv%C3%A5
H%C3%B8g,H%C3%B8gskolekandidat+akvakultur+tre%C3%A5rig
Mus,Musikkinstrumentmaker+videreg%C3%A5ende+grunnutdanning
Bar,Barneskole
B%C3%B8r,B%C3%B8rsemakerfaget+VK+II
Fin,Finmekaniker+to%C3%A5rig+grunnkurs
Rad,Radio-+og+fjernsynsteknisk+utdanning+videreg%C3%A5ende+avsluttende+utdanning
Fag,Fagskoleutdanning+eldreomsorg+ett%C3%A5rig
Fys,Fysiske+og+kjemiske+fag+andre+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
H%C3%B8g,H%C3%B8gskolekandidat+fotografi+tre%C3%A5rig
Bac,Bachelor+ingeni%C3%B8rfag+bygg+og+industri+tre%C3%A5rig
Vas,Vaskerifaget+Vg2+og+Vg3+s%C3%A6rl%C3%B8p
Mas,Master+landskapsarkitektur+fem%C3%A5rig
Byg,Byggdrifterfaget+Vg2+og+Vg3+s%C3%A6rl%C3%B8p
Mas,Master+flerkulturell+og+internasjonal+utdanning+to%C3%A5rig
Dr.,Dr.polit.-utdanning+samfunns%C3%B8konomi
Tan,Tannteknikerfaget+VK+II
Ser,Serviceelektronikerfaget+radarsystemer+VK+II
Pol,Politifag+uspesifiserte+lavere+niv%C3%A5
For,Formgiving+lavere+niv%C3%A5
Kun,Kunstfagkandidat+kunstfag+hovedfag
Mas,Master+medieteknikk+fem%C3%A5rig
Anl,Anleggsgartner-+og+idrettsanleggsfag+Vg2
Bac,Bachelor+ingeni%C3%B8rfag+nautikk+tre%C3%A5rig
Sam,Samfunns%C3%B8konomiske+fag+andre+uspesifiserte+lavere+niv%C3%A5
Kva,Kvantitativ+metode+for+samfunnsvitere+lavere+niv%C3%A5
Can,Cand.merc.-utdanning+%C3%B8konomi+og+administrasjon
Mas,Master+teknologi+bygg-+og+milj%C3%B8teknikk+fem%C3%A5rig
Sos,Sosialantropologiske+fag+andre+uspesifiserte+lavere+niv%C3%A5
Pro,Programkurs+for+fjernsynet
Fag,Fagskoleutdanning+journalistikk
Sko,Skogbruk+andre+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Can,Cand.real.-utdanning+geofysikk
Can,Cand.scient.-utdanning+geofysikk
Bok,Bokbransjefag+lavere+niv%C3%A5
Zoo,Zoologi+lavere+niv%C3%A5
Bib,Bibliotekutdanning+uspesifisert+h%C3%B8yere+niv%C3%A5
Fag,Fagskoleutdanning+barsel-+og+barnepleie+to%C3%A5rig
Fag,Fagskoleutdanning+reklame+og+merkekommunikasjon+to%C3%A5rig
Mas,Master+kulturvitenskap+to%C3%A5rig
Yrk,Yrkesfagl%C3%A6rerutdanning+hotell-+og+n%C3%A6ringsmiddelfag+tre%C3%A5rig
Bac,Bachelor+Steinerh%C3%B8yskolen+l%C3%A6rerutdanning+tre%C3%A5rig
Bac,Bachelor+samfunnsfag+og+juridiske+fag+tre%C3%A5rig
Bac,Bachelor+geofag+tre%C3%A5rig
Sko,Skogbruk+andre+uspesifiserte+forskerutdanning
Mas,Master+skogbruksfag+to%C3%A5rig
%C3%98ko,%C3%98konomiske+og+administrative+fag+andre+uspesifiserte+videreg%C3%A5ende+grunnutdanning
Ped,Pedagogikk+uspesifisert+videreg%C3%A5ende+grunnutdanning
Mag,Mag.art.-utdanning+nordisk+spr%C3%A5kvitenskap
Mag,Mag.art.-utdanning+norr%C3%B8n+filologi
Mag,Mag.art.-utdanning+sammenliknende+politikk
Mag,Mag.art.-utdanning+litteraturvitenskap
Can,Cand.scient.-utdanning+molekyl%C3%A6rbiologi
Fag,Fagl%C3%A6rerutdanning+praktisk-estetiske+fag+fire%C3%A5rig
Mas,Master+teknologi+produktutvikling+og+produksjon+to%C3%A5rig
Bac,Bachelor+fiskeri-+og+n%C3%A6ringsmiddelteknologi+tre%C3%A5rig
Bet,Betongindustrifaget+VK+II
Hov,Hovedfagskandidat+histore
Vet,Veterin%C3%A6rfag+andre+uspesifiserte+forskerutdanning
Mas,Master+musikkvitenskap+to%C3%A5rig
Mas,Master+musikkpedagogikk+to%C3%A5rig
Mas,Master+of+Science+management+of+natural+resources+and+sustainable+agriculture
Rei,Reiselivsfag+to%C3%A5rig
Bac,Bachelor+samfunnskunnskap+tre%C3%A5rig
Can,Cand.philol.-utdanning+medievitenskap
Bac,Bachelor+kunstfag+med+fordypning+drama+tre%C3%A5rig
Her,Herrefris%C3%B8rfaget+VK+II
Kul,Kulturpedagogikk+lavere+niv%C3%A5
Bac,Bachelor+dokumentasjonsvitenskap+tre%C3%A5rig
Fag,Fagl%C3%A6rerutdanning+tegning+grafikk+og+maling+grunnleggende+to%C3%A5rig
Lat,Latin+lavere+niv%C3%A5
And,Andre+servicefag+andre+uspesifisert+utdanningsgruppe+videreg%C3%A5ende+avsluttende+utdanning
For,Formgivingsfag+Vg2+grunnkompetanse
%C3%98ko,%C3%98kologisk+landbruk+VK+I
H%C3%B8g,H%C3%B8gskoleingeni%C3%B8rutdanning+transportteknikk+og+logistikk+tre%C3%A5rig
Tek,Teknisk+fagskole+uspesifisert+linje+to%C3%A5rig
Ove,Overflateteknikk+Vg2
Mil,Milj%C3%B8-+og+forurensningsstudier+uspesifiserte+h%C3%B8yere+niv%C3%A5
Mas,Master+bioteknologi+to%C3%A5rig
Med,Media+to%C3%A5rig+grunnkurs
Fly,Flygerutdanning
Bac,Bachelor+arktisk+naturbruk+og+landbruk+tre%C3%A5rig
